team,matches,median_gf_weighted,median_ga_weighted,attack_strength_raw,defense_strength_raw,attack_strength,defense_strength
croatia,62.0,1.861,1.0,1.861,1.0,0.6825396825396826,0.07139909203466777
kosovo,50.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
north macedonia,53.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
poland,58.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
slovakia,56.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
lithuania,50.0,1.0,1.833,1.0,0.545,0.3408730158730159,0.024453157243087085
belarus,48.0,1.0,1.828,1.0,0.547,0.3408730158730159,0.024659513000412716
bosnia and herzegovina,47.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
england,66.0,1.868,0.132,1.868,7.6,0.6853174603174603,0.7523730912092447
france,64.0,1.865,1.0,1.865,1.0,0.6841269841269841,0.07139909203466777
germany,61.0,1.859,1.0,1.859,1.0,0.6817460317460318,0.07139909203466777
mozambique,55.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
netherlands,62.0,1.861,1.0,1.861,1.0,0.6825396825396826,0.07139909203466777
norway,49.0,2.661,1.0,2.661,1.0,1.0,0.07139909203466777
romania,53.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
montserrat,22.0,1.0,1.688,1.0,0.593,0.3408730158730159,0.029405695418902183
cayman islands,20.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
cuba,42.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
dominica,24.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
puerto rico,28.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
algeria,63.0,1.863,1.0,1.863,1.0,0.6833333333333333,0.07139909203466777
andorra,49.0,0.169,1.831,0.169,0.546,0.01111111111111112,0.0245563351217499
belgium,60.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
switzerland,61.0,1.859,1.0,1.859,1.0,0.6817460317460318,0.07139909203466777
turkey,56.0,1.848,1.0,1.848,1.0,0.6773809523809524,0.07139909203466777
ukraine,55.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
mexico,90.0,1.0,0.1,1.0,10.0,0.3408730158730159,1.0
united states,84.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
nepal,47.0,0.175,1.825,0.175,0.548,0.013492063492063493,0.02476269087907553
iran,57.0,1.851,0.149,1.851,6.7,0.6785714285714286,0.6595130004127115
bahrain,68.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
palestine,39.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
bangladesh,50.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
united arab emirates,63.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
thailand,73.0,1.88,1.0,1.88,1.0,0.6900793650793651,0.07139909203466777
bolivia,57.0,1.0,1.851,1.0,0.54,0.3408730158730159,0.023937267849773014
uruguay,63.0,1.0,0.137,1.0,7.3,0.3408730158730159,0.7214197276104003
argentina,67.0,1.87,0.13,1.87,7.7,0.6861111111111111,0.7626908790755262
peru,61.0,0.141,1.0,0.141,1.0,0.0,0.07139909203466777
kuwait,57.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
qatar,77.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
faroe islands,49.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
finland,53.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
hungary,55.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
italy,60.0,1.857,1.0,1.857,1.0,0.680952380952381,0.07139909203466777
nigeria,55.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
rwanda,35.0,0.222,1.0,0.222,1.0,0.03214285714285715,0.07139909203466777
slovenia,54.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
spain,65.0,1.867,1.0,1.867,1.0,0.6849206349206349,0.07139909203466777
latvia,50.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
maldives,35.0,1.0,1.778,1.0,0.562,0.3408730158730159,0.02620718118035494
antigua and barbuda,25.0,1.0,1.714,1.0,0.583,0.3408730158730159,0.028373916632274038
suriname,32.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
guatemala,61.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
dominican republic,36.0,1.783,1.0,1.783,1.0,0.6515873015873015,0.07139909203466777
nicaragua,40.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
saint kitts and nevis,37.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
brazil,62.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
guinea,51.0,1.0,1.0,1.0,1.0,0.3408730158730159,0.07139909203466777
